Var5,Var7,Var11,Var12,Var13
A3FF37,2025/08/12 01:49:37.894,4973.89099889495,42.4122545873232,-71.4484423916676
A3FF37,2025/08/12 01:49:38.424,5018.61789026077,42.411813004883,-71.4490860195769
A3FF37,2025/08/12 01:49:38.964,5058.38770683964,42.4113698796594,-71.449735548578
A3FF37,2025/08/12 01:49:39.554,5103.56328052302,42.4108756285244,-71.4504412777772
A3FF37,2025/08/12 01:49:39.994,5141.36383574535,42.4105236604627,-71.4509575464825
A3FF37,2025/08/12 01:49:40.404,5174.22299984876,42.410196711742,-71.4514269092697
A3FF37,2025/08/12 01:49:40.945,5219.21055956978,42.4097408170661,-71.4520735009983
A3FF37,2025/08/12 01:49:41.374,5252.71493985223,42.4093887458008,-71.4525817787992
A3FF37,2025/08/12 01:49:41.814,5290.62345460714,42.4090062102108,-71.4531287456378
A3FF37,2025/08/12 01:49:42.765,5369.27297295522,42.4082214081338,-71.4542652802114
A3FF37,2025/08/12 01:49:43.274,5414.154536569,42.4078037125329,-71.4548725241653
A3FF37,2025/08/12 01:49:43.834,5457.54341606288,42.4073309033957,-71.4555462615667
A3FF37,2025/08/12 01:49:44.984,5543.40122467877,42.4063772864665,-71.4569231728158
A3FF37,2025/08/12 01:49:45.575,5586.13801969177,42.405880942654,-71.4576156510728
A3FF37,2025/08/12 01:49:46.054,5624.09278546713,42.4054848880844,-71.4581985235183
A3FF37,2025/08/12 01:49:46.924,5687.67284689151,42.404742506228,-71.4592648911217
A3FF37,2025/08/12 01:49:47.754,5744.25331493698,42.4040522164823,-71.4602656123787
A3FF37,2025/08/12 01:49:50.685,5931.13428712986,42.4016208520886,-71.4637833130482
A3FF37,2025/08/12 01:49:52.584,6039.05903318859,42.4000505551671,-71.4660690777956
A3FF37,2025/08/12 01:49:53.495,6086.09274686838,42.399302732506,-71.467180284952
A3FF37,2025/08/12 01:49:54.404,6123.72427354747,42.3985375367982,-71.4682858185912
A3FF37,2025/08/12 01:49:55.514,6181.53334481973,42.397590386803,-71.4696815236636
A3FF37,2025/08/12 01:49:56.425,6229.17015945722,42.3967967161391,-71.4708139880631
A3FF37,2025/08/12 01:49:57.374,6269.44546624957,42.3960023259688,-71.4719595778273
A3FF37,2025/08/12 01:49:58.325,6312.01156222702,42.3951746109551,-71.473150765417
A3FF37,2025/08/12 01:49:59.725,6379.53354407271,42.3939825886274,-71.4748936069833
A3FF37,2025/08/12 01:50:00.184,6401.57996527629,42.3935908176891,-71.4754325231871
A3FF37,2025/08/12 01:50:01.174,6450.42798810354,42.3927529138408,-71.4766539334581
A3FF37,2025/08/12 01:50:02.164,6499.64226793282,42.3918944314562,-71.4778692571751
A3FF37,2025/08/12 01:50:03.195,6550.47306354475,42.391002684239,-71.4791150359004
A3FF37,2025/08/12 01:50:05.294,6664.31134018241,42.3892051201367,-71.4817052434652
A3FF37,2025/08/12 01:50:09.255,6892.22058423688,42.3858118694892,-71.4867378797388
A3FF37,2025/08/12 01:50:10.325,6951.41055870559,42.3849339433941,-71.4882079208308
A3FF37,2025/08/12 01:50:11.354,7005.02946101223,42.3841135033488,-71.4895918137003
A3FF37,2025/08/12 01:50:13.334,7120.41611348652,42.3828002593717,-71.4925371811131
A3FF37,2025/08/12 01:50:14.245,7173.42996721242,42.3822013549746,-71.493888078846
A3FF37,2025/08/12 01:50:15.155,7214.92591485209,42.3816275935485,-71.4952492880857
A3FF37,2025/08/12 01:50:16.145,7271.37786754552,42.3810596809167,-71.4967755364459
A3FF37,2025/08/12 01:50:17.135,7325.62292572627,42.3805481998985,-71.4983480164764
A3FF37,2025/08/12 01:50:17.705,7354.69548272384,42.3802866823517,-71.4992434533935
A3FF37,2025/08/12 01:50:18.165,7378.40240941493,42.3800814637029,-71.4999817910902
A3FF37,2025/08/12 01:50:19.155,7437.72923312105,42.3796695848161,-71.5016058434684
A3FF37,2025/08/12 01:50:19.725,7478.26900375837,42.3794442993649,-71.502558967939
A3FF37,2025/08/12 01:50:20.145,7508.32654762451,42.3792977334742,-71.5032683360515
A3FF37,2025/08/12 01:50:21.094,7574.54173918527,42.3790067519854,-71.5048286057991
A3FF37,2025/08/12 01:50:22.005,7636.36804820367,42.3787680624478,-71.5063442932893
A3FF37,2025/08/12 01:50:23.115,7712.34810362235,42.3784947524501,-71.508266096573
A3FF37,2025/08/12 01:50:23.525,7749.12735289753,42.3783932306403,-71.508972238668
A3FF37,2025/08/12 01:50:24.065,7795.82733219277,42.3782799826708,-71.5098908464287
A3FF37,2025/08/12 01:50:25.055,7874.83812412393,42.3781079857465,-71.5115828332618
A3FF37,2025/08/12 01:50:25.464,7909.61019310463,42.3780277348977,-71.5122772455223
A3FF37,2025/08/12 01:50:25.925,7944.83482984553,42.3779491607635,-71.5130901338567
A3FF37,2025/08/12 01:50:26.475,7988.66675002836,42.3778550124078,-71.5140097137764
A3FF37,2025/08/12 01:50:26.995,8026.62738498296,42.3777694749967,-71.5148742588763
A3FF37,2025/08/12 01:50:27.985,8106.57824979501,42.3776319228501,-71.5165563799761
A3FF37,2025/08/12 01:50:28.935,8177.27648731313,42.377452703878,-71.5182033381054
A3FF37,2025/08/12 01:50:29.965,8253.21547369075,42.377267560194,-71.5199667883081
A3FF37,2025/08/12 01:50:30.915,8324.55268470805,42.3770809800362,-71.5216301231303
A3FF37,2025/08/12 01:50:31.944,8401.06985513652,42.376913695517,-71.523406834427
A3FF37,2025/08/12 01:50:33.015,8487.91157340522,42.3767381186254,-71.5252684082642
A3FF37,2025/08/12 01:50:33.845,8550.81054622665,42.3766008611193,-71.5266921788441
A3FF37,2025/08/12 01:50:34.315,8583.17207228232,42.3765157528641,-71.5275266341781
A3FF37,2025/08/12 01:50:34.875,8625.29555913126,42.3764222221501,-71.5284711877103
A3FF37,2025/08/12 01:50:35.445,8670.04637067794,42.3763289152854,-71.5294642107563
A3FF37,2025/08/12 01:50:35.865,8701.42658455551,42.3762656832994,-71.5301834442743
A3FF37,2025/08/12 01:50:36.415,8738.77065681295,42.3761652976257,-71.5311594141693
A3FF37,2025/08/12 01:50:36.815,8764.51526994071,42.3760993966088,-71.5318698777865
A3FF37,2025/08/12 01:50:37.345,8802.81418931519,42.3760055127601,-71.532793998577
A3FF37,2025/08/12 01:50:37.925,8840.91122355736,42.3759063012195,-71.5338080364975
A3FF37,2025/08/12 01:50:38.435,8877.26487591487,42.3758207805515,-71.5347034943441
A3FF37,2025/08/12 01:50:38.915,8909.42871993466,42.3757316820054,-71.5355436996825
A3FF37,2025/08/12 01:50:39.485,8944.83177583641,42.375636768803,-71.5365184830082
